idorganization,passwordhash,name,abbreviation,juridicalentity_idjuridicalentity,street,streetnumber,postal,city,province_idprovince,telnr,faxnr,url,organizationtypeother,goal,organizationkeywordother,remark,active,datecreated,email
32,anonymized,Boulevart,bgw,2,Provinciale Steenweg,39,2627,Schelle,1,anonymized,anonymized,,,"High-end web development, (Interactive) User Interface Design and Rich Internet Applications are valuable assets for your online business. Boulevart helps you create stunning websites, attractive campaigns and user friendly applications and make them easily accessible.",NULL,NULL,1,10/9/2008 15:39,anonymized
33,,De Munt,,1,Leopoldstraat,23,1000,Brussel,6,,,www.demunt.be,,De Munt werd uitgeroepen tot Nationale Opera in 1963,NULL,,1,1/9/2009 15:07,
34,,Beweging tegen Geweld- Vzw ZIJN,,1,Middaglijnstraat,10,1210,Brussel,6,,,www.vzwzijn.be,,"Vzw ZIJN treedt preventief en duidend op tegen geweld en misbruik in de privé-sfeer (eigenlijk in elke vertrouwensrelatie). Preventie en duiding worden gerealiseerd via educatie, sensibilisatie, netwerkvorming, acties en campagnes, en beleidsbeïnvloeding. Preventie kadert in een pluralistisch mensbeeld van respect, autonomie en verantwoordelijkheid.",NULL,,1,1/14/2009 12:29,
35,,Basisadvies bij Scheiding en Ouderschap,BASO,1,Lusthoflaan,36A,9032,Wondelgem,4,,,www.baso.be,,"De organisaties hebben tot doel: het aanbieden van hulp aan personen die in een (echt)scheidingssituatie verwikkeld zijn, door hen te informeren, te adviseren, te begeleiden, het organiseren van hulpverlenende activiteiten die het welzijn van het individu, gezin of leden daarvan bevorderen door hun problemen te helpen oplossen, te verminderen of te voorkomen.",NULL,,1,1/15/2009 13:23,
36,,Vormingsbeweging - KVG,KVG,1,Arthur Goemaerelei,66,2018,Antwerpen,1,,,www.kvg.be,,"KVG-Vorming is een sociaal-culturele vereniging voor alle personen met een handicap en hun omgeving. Ze biedt haar doelgroep ontmoetingskansen, culturele activiteiten, vorming en informatie met als doel hun kansen in de samenleving te vergroten. Met dit zelfde doel wordt bewust gewerkt aan sociale activering en belangenverdediging. Acties zijn ook gericht op bewustmaking van mensen zonder handicap en van de overheid met de bedoeling om te werken aan een inclusieve samenleving.",NULL,,1,1/19/2009 09:08,
37,,Centrum Informatieve Spelen,C.I.S.,1,Naamsesteenweg,130,3001,Leuven,2,,,http://www.spelinfo.be/,,"Door middel van informatieve spelen wil het C.I.S. kinderen, jongeren en volwassenen informeren over en sensibiliseren voor maatschappelijk belangrijke onderwerpen zoals seksualiteit, wereldhandel, democratie, sociale vaardigheden, diversiteit, ...



De keuze voor spel ligt voor de hand. Uit onderzoek en ervaring blijkt dat jongeren en volwassenen informatie uit een spel beter onthouden en bovendien beter verwerken en begrijpen.



Natuurlijk zijn informatieve spelen ook aangenaam en onderhoudend. De deelnemers ontdekken er ervaren spelenderwijs de mogelijkheden en de beperkingen van het behandelde thema of onderwerp.",NULL,,1,1/19/2009 10:48,
38,,AFS Interculturele Prgoramma's,,1,Brand Whitlocklaan,132,1200,Brussel,6,,,www.afsvlaanderen.be,,"AFS Interculturele Programma’s vzw organiseert sinds 1947 uitwisselingen voor jongeren en jongvolwassenen. Basisdoelstelling van deze vrijwilligersorganisatie is om via interculturele leerervaringen jongeren een open blik op een multi-culturele wereld te bieden. Elk land heeft haar eigen onafhankelijk AFS kantoor. Hoewel de kantoren onafhankelijk zijn is er wel overleg. Over de hele wereld vertrekken er jaarlijks 10.000 jongeren waarvan ca. 350 Vlamingen. Ieder jaar ontvangen wij ca. 250 buitenlandse gasten. In totaal zijn er 30 bestemmingen waaronder Amerika de meest populaire is, gevolgd door Latijns-Amerika en Afrika. De Aziatische landen doen het iets minder goed. Verschillende programma’s zijn mogelijk: School, Project of Zomer. De missie: AFS is een internationale, niet-gouvernementele non-profit vrijwilligersorganisatie die mogelijkheden voor intercultureel leren aanbiedt om mensen kennis, vaardigheden en begrip bij te brengen voor een beter en meer vredevolle wereld. AFS maakt het mogelijk voor mensen om als verantwoordelijke, integere burgers te werken voor vrede en begrip in een wereld met veel diversiteit. AFS erkent dat vrede een dynamisch begrip is dat wordt bedreigd door onrechtvaardigheid, ongelijkheid en intolerantie. AFS gelooft en heeft vertrouwen in de waardigheid en de waarde van elk individu en van alle naties en culturen. AFS moedigt respect voor mensenrechten en fundamentele vrijheden aan zonder enige vorm van discriminatie op grond van ras, geslacht, godsdienst of sociale status. AFS heeft verschillende prioriteiten: 1) vorming van jongeren 2) het uitwerken van een ‘beurzen-politiek’ 3) Het zoeken van gastgezinnen in België (Vlaanderen). ",NULL,,1,1/20/2009 15:29,
39,,Artsen Zonder Grenzen,AZG,1,Artesiëstraat,46,1000,Brussel,6,,,www.AZG.be/nl/terrein/belgie.htm,,"Artzen Zonder Grenzen is een non-gouvernementele organisatie.Artsen Zonder Grenzen (AZG) is een privaatrechtelijke vereniging met een internationale roeping. De vereniging bestaat hoofdzakelijk uit artsen en paramedici, maar staat open voor andere beroepen die kunnen bijdragen tot haar opdracht.",NULL,,1,1/20/2009 15:43,
40,,"Brusselse Ondersteuning Dienstencentra (BOD),  deelwerking van BWR",,1, Leopold II-laan,204 bus 1,1080,Brussel,6,,,www.risobrussel.be,,"Het Regionaal Instituut voor de Samenlevingsopbouw (RisoBrussel) reikt oplossingen aan voor problemen die bewoners uit achtergestelde wijken in hun dagelijkse leef- en woonomgeving ervaren. In dat kader werden 11 dienstencentra voor bejaarden opgestart die samenzitten in het Brussel Overleg Dienstencentra. BOD is een informeel overlegplatform voor die elf erkende dienstencentra voor bejaarden. Doelstellingen van BOD: verder werken aan een gemeenschappelijk werkkader, informatie-uitwisseling en samenwerking, belangenbehartiging naar de overheid. ",NULL,,1,1/20/2009 16:37,
41,,Brusselse Bond voor het Recht op Wonen,BBRoW,1,Grootsermentstraat,2,1000,Brussel,6,,,,,Ondersteunt Brusselse organisaties die zich bezig houden met huisvesting.,NULL,NULL,0,1/20/2009 16:44,
