"idquestionlog","question_idquestion","datecreated","event","description","attachment","manual"
"464","200","2008-10-09 15:43:51","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"465","200","2008-10-09 15:45:41","Vraag toegewezen aan Wetenschapswinkel Antwerpen door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Antwerpen door Centrale Unit","NULL","0"
"466","200","2008-10-09 15:57:24","Vraag aangepast en doorgestuurd voor verwerking door Regionale Winkel","Vraag aangepast en doorgestuurd voor verwerking door Regionale Winkel","NULL","0"
"467","200","2008-10-09 16:40:00","Verwerkt. Actie: Regionale vraag aangemaakt door Wetenschapswinkel Antwerpen.","Verwerkt. Actie: Regionale vraag aangemaakt door Wetenschapswinkel Antwerpen.","NULL","0"
"468","201","2008-10-09 16:40:00","Regionale vraag aangemaakt","Regionale vraag aangemaakt","NULL","0"
"469","201","2008-10-09 16:40:53","Regionale vraag gewijzigd","Regionale vraag gewijzigd","NULL","0"
"470","201","2008-10-09 16:41:10","Regionale vraag gewijzigd","Regionale vraag gewijzigd","NULL","0"
"472","202","2009-01-09 15:12:06","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"473","202","2009-01-09 15:14:44","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"474","202","2009-01-09 15:16:10","Vraag aangepast en doorgestuurd voor verwerking door Regionale Winkel","Vraag aangepast en doorgestuurd voor verwerking door Regionale Winkel","NULL","0"
"475","202","2009-01-09 15:19:37","Verwerkt. Actie: Regionale vraag aangemaakt door Wetenschapswinkel Brussel.","Verwerkt. Actie: Regionale vraag aangemaakt door Wetenschapswinkel Brussel.","NULL","0"
"476","203","2009-01-09 15:19:37","Regionale vraag aangemaakt","Regionale vraag aangemaakt","NULL","0"
"477","203","2009-01-09 15:22:20","Regionale vraag gewijzigd","Regionale vraag gewijzigd","questionlogs:477:masterproef_LDCang_Munt_Zonderbijlagen.pdf","0"
"478","204","2009-01-14 12:32:18","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"479","204","2009-01-14 12:41:13","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"480","204","2009-01-14 12:45:06","Vraag aangepast en doorgestuurd voor verwerking door Regionale Winkel","Vraag aangepast en doorgestuurd voor verwerking door Regionale Winkel","NULL","0"
"481","204","2009-01-14 12:53:13","Verwerkt. Actie: Regionale vraag aangemaakt door Wetenschapswinkel Brussel.","Verwerkt. Actie: Regionale vraag aangemaakt door Wetenschapswinkel Brussel.","NULL","0"
"482","205","2009-01-14 12:53:13","Regionale vraag aangemaakt","Regionale vraag aangemaakt","NULL","0"
"483","205","2009-01-14 12:55:22","Regionale vraag gewijzigd","Regionale vraag gewijzigd","NULL","0"
"484","205","2009-01-14 12:58:49","Regionale vraag gewijzigd","Regionale vraag gewijzigd","NULL","0"
"485","200","2009-01-14 13:04:13","Verwerkt. Actie: Regionale vraag aangemaakt door Wetenschapswinkel Brussel.","Verwerkt. Actie: Regionale vraag aangemaakt door Wetenschapswinkel Brussel.","NULL","0"
"486","206","2009-01-14 13:04:13","Regionale vraag aangemaakt","Regionale vraag aangemaakt","NULL","0"
"487","206","2009-01-14 13:04:30","Regionale vraag gewijzigd","Regionale vraag gewijzigd","NULL","0"
"488","207","2009-01-15 13:27:07","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"489","207","2009-01-15 13:31:07","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"490","207","2009-01-15 13:32:28","Vraag toegewezen aan Wetenschapswinkel Antwerpen door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Antwerpen door Centrale Unit","NULL","0"
"491","207","2009-01-15 13:32:59","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Brussel door Centrale Unit","NULL","0"
"492","207","2009-01-15 13:37:17","Vraag aangepast en doorgestuurd voor verwerking door Regionale Winkel","Vraag aangepast en doorgestuurd voor verwerking door Regionale Winkel","NULL","0"
"493","207","2009-01-15 13:50:19","Verwerkt. Actie: Regionale vraag aangemaakt door Wetenschapswinkel Brussel.","Verwerkt. Actie: Regionale vraag aangemaakt door Wetenschapswinkel Brussel.","NULL","0"
"494","208","2009-01-15 13:50:19","Regionale vraag aangemaakt","Regionale vraag aangemaakt","NULL","0"
"495","208","2009-01-15 13:53:40","Regionale vraag gewijzigd","Regionale vraag gewijzigd","NULL","0"
"496","208","2009-01-15 13:55:29","Regionale vraag gewijzigd","Regionale vraag gewijzigd","NULL","0"
"497","208","2009-01-15 13:58:05","thesis bijgevoegd","thesis bijgevoegd","NULL","1"
"498","209","2009-01-19 09:13:37","Vraag aangemaakt","Vraag aangemaakt","NULL","0"
"499","209","2009-01-19 09:25:56","Vraag toegewezen aan Wetenschapswinkel Antwerpen door Centrale Unit","Vraag toegewezen aan Wetenschapswinkel Antwerpen door Centrale Unit","NULL","0"
"500","209","2009-01-19 09:39:47","Vraag aangepast door Regionale Winkel","Vraag aangepast door Regionale Winkel","NULL","NULL"
"501","209","2009-01-19 09:41:40","Vraag aangepast en doorgestuurd voor verwerking door Regionale Winkel","Vraag aangepast en doorgestuurd voor verwerking door Regionale Winkel","NULL","0"
"502","209","2009-01-19 09:47:12","Verwerkt. Actie: Regionale vraag aangemaakt door Wetenschapswinkel Antwerpen.","Verwerkt. Actie: Regionale vraag aangemaakt door Wetenschapswinkel Antwerpen.","NULL","0"
"503","210","2009-01-19 09:47:12","Regionale vraag aangemaakt","Regionale vraag aangemaakt","NULL","0"
"504","210","2009-01-19 09:55:03","Regionale vraag gewijzigd","Regionale vraag gewijzigd","NULL","0"
