"Instructor_ID","Instructor_Name","Instructor_Address","Instructor_Zipcode","Instructor_City","Instructor_Tel","Instructor_Mobile","Instructor_Email","Instructor_Fax","Instructor_Website","Instructor_ContactFirstName","Instructor_ContactLastName","Instructor_Institution","Instructor_Status"
"41","Vluchtelingenwerk Vlaanderen","anonymized","1030","Brussel","anonymized","anonymized","anonymized","anonymized","www.ociv.org","Greet","anonymized","Het OverlegCentrum voor Integratie van Vluchtelingen (OCIV) is een onafhankelijke, breed samengestelde organisatie die zich op basis van de Universele Verklaring van de Rechten van de Mens inzet voor bescherming van vluchtelingen door belangenbehartiging bij hun toelating, opvang en participatie.","1"
"42","Vlaamse Vereniging van Studenten","anonymized","1000","Brussel","anonymized","anonymized","anonymized","anonymized","http://www.vvs.ac/","Geert","anonymized","De Vlaamse Vereniging van Studenten (VVS) overkoepelt, op Vlaams niveau, de lokale studentenraden van de instellingen voor hoger onderwijs. Ze biedt vorming en informatie aan haar leden, en verdedigt de studentenrechten op beleidsniveau. VVS plaatst het verdedigen van de studentenrechten in het ruimer kader van democratisering van het onderwijs.\nDit wil zeggen dat voor VVS iedereen, ongeacht de socio-culturele achtergrond, het recht heeft om zonder financi&euml;le of andere drempels het onderwijs van haar of zijn keuze en begaafdheid te volgen.\nIn dit kader ijvert VVS ook voor democratisch georganiseerde onderwijsinstellingen met re&euml;le studenteninspraak.\n","1"
"39","Steunpunt voor Allochtone meisjes en vrouwen","anonymized","1000","Brussel","anonymized","anonymized","anonymized","anonymized","http://www.samv.be/","Judith","anonymized","Het Steunpunt voor Allochtone Meisjes en Vrouwen werkt aan het onderbouwen van het emancipatie- en participatieproces van allochtone meisjes en vrouwen door in te spelen op specifieke noden en behoeften enerzijds en door deze groep zichtbaar te maken binnen onze samenleving anderzijds. Hierbij gaat een bijzondere aandacht naar allochtone meisjes en vrouwenverenigingen.","1"
"40","KAOS & Co Gezinsplaatsing","anonymized","2800","Mechelen","anonymized","anonymized","anonymized","anonymized","","Simon","anonymized","KAOS is een pleeggezinnendienst die kinderen tussen 0 en 18 jaar plaatst in pleeggezinnen indien zij zich in een problematische opvoedingssituatie bevinden.","1"
"6","Wereldschool vzw","anonymized","1000","Brussel","anonymized","anonymized","anonymized","anonymized","","Peter of Tomas","anonymized","De Wereldschool wil bij kinderen en hun begeleiders een mondiaal bewustzijn stimuleren. Via het aanbieden van vorming, inleefateliers en andere vormen van activiteiten wil de Wereldschool een genuanceerd beeld over andere culturen meegeven, kaders aanreiken en inzichten geven in de mechanismen van onrecht en ongelijkheid in de samenleving. Op die manier tracht men een proces van bewustwording en betrokkenheid te cre&euml;ren t.a.v. de wereldproblematiek.\nDe vzw Wereldschool is gegroeid uit Sint-Joris (basisschool te Brussel) via een intiatief van de leerkrachten. Het initiatief kaderde rond een uitwisslingsproject tussen Sint-Joris en een school uit Senegal, Dakar.  Onlangs werd de vzw onafhankelijk gemaakt van Sint-Joris en een nieuw team neemt nu de taken over.  Momenteel bestaat de vzw uit 4 personen (3 fulltime en 1 parttime). Een van de doelstellingen van het nieuwe team is de inleefateliers inhoudelijk optimaliseren.\n","1"
"7","Grip vzw","anonymized","1000","Brussel","anonymized","anonymized","anonymized","anonymized","www.gripvzw.be","Stefan","anonymized","Vzw GRIP (Gelijke Rechten voor Iedere Persoon met een Handicap); Vzw GRIP is een burgerrechtenorganisatie. Hun doel is gelijke rechten &eacute;n kansen bewerkstelligen voor iedereen. Ze richten zich in de eerste plaats tot een achtergestelde groep, mensen met een handicap. Vzw Grip wil het beleid be&iuml;nvloeden en voeden en de ruimere samenleving correct informeren. Een tweede belangrijke pijler van GRIP is sensibilisatie. Daarnaast hecht de vzw erg veel belang aan de positieve beeldvorming in plaats van de dikwijls &eacute;&eacute;nzijdige invalshoek van verzorging en afhankelijkheid. Tenslotte zal de vzw op termijn personen met een handicap en hun omgeving ook juridisch ondersteunen en zo discriminatie bestrijden.","1"
"113","GRIP vzw (2)","anonymized","1000","Brussel","anonymized","anonymized","anonymized","anonymized","www.gripvzw.be","Inge Verhaegen","anonymized","GRIP, wat staat voor Gelijke Rechten voor Iedere Persoon met een handicap, is een burgerrechtenorganisatie voor en door mensen met een handicap. GRIP wil dat mensen met een handicap zelf kunnen beslissen wie ze zijn en wat ze met hun leven willen doen. De organisatie wil mensen ‘grip’ geven op hun eigen leven. Zelfbeschikking, autonomie en een evenwaardige participatie zijn dan ook drie hoofddoelstellingen. Via politiek lobbywerk en sensibilisatie van de ruime samenleving streeft GRIP naar gelijke rechten en kansen voor mensen met een handicap.","1"
"8","Vlaams Minderheden Centrum","anonymized","1030","Brussel","anonymized","anonymized","anonymized","anonymized","www.vmc.be","Mieke Santermans","anonymized","E&eacute;n van de kerntaken van het VMC is het aanbieden van structurele ondersteuning aan de integratiecentra- en diensten &eacute;n het vluchtelingen- en woonwagenwerk. Het uitgangspunt is daarbij de etnisch-culturele diversiteit van Vlaanderen en Brussel. Het Vlaams Minderhedencentrum ijvert voor een harmonieuze samenleving, met basisrechten en gelijke kansen voor etnisch-culturele minderheden (allochtonen, vluchtelingen, mensen zonder papieren en woonwagenbewoners).\nDe ondersteuning van het Vlaams Minderhedencentrum is veelzijdig en heeft welomlijnde doelstellingen: Het VMC zorgt voor een breed en levendig info-aanbod adhv een up-to-date tijdschriften- en boekenbestand, samenwerking met andere bibliotheken en de maandelijkse nieuwsbrief ‘DIVERS’; Het VMC levert kwalitatief juridisch advies over vreemdelingenrecht; Vorming, training en opleiding van medewerkers in de sector is een vast onderdeel van het aanbod van het VMC; Het VMC bestudeert en evalueert het Vlaamse beleid inzake etnisch-culturele minderheden en; Ontwikkelt nieuwe methodieken en werkinstrumenten om de toegankelijkheid van diensten en instellingen voor etnisch-culturele minderheden te vergroten en steun te leveren aan deze groepen bij het opeisen van hun rechten in deze samenleving.\n","1"
"170","BASO / SBO","anonymized","meer  info","bij Ils","anonymized","anonymized","anonymized","anonymized","","","anonymized","De organisaties hebben tot doel: het aanbieden van hulp aan personen die in een (echt)scheidingssituatie verwikkeld zijn, door hen te informeren, te adviseren, te begeleiden, het organiseren van hulpverlenende activiteiten die het welzijn van het individu, gezin of leden daarvan bevorderen door hun problemen te helpen oplossen, te verminderen of te voorkomen.\n\n","1"
"171","Unie Vrijzinnige Verenigingen","anonymized","1200","Sint-Lambrechts-Woluwe","anonymized","anonymized","anonymized","anonymized","www.uvv.be","Nijs Klaas","anonymized","De Unie Vrijzinnige Verenigingen is de wettelijk erkende koepelvereniging voor georganiseerde vrijzinnigheid in Vlaanderen.\nDe doelstelling van de organisatie is het praktisch omkaderen, promoten en uitbouwen van de georganiseerde vrijzinnigheid in het Nederlandstalig landsgedeelte, het verstrekken van morele dienstverlening (waaronder inbegrepen de morele bijstand), het organiseren van vrijzinnige plechtigheden en het verschaffen van informatie.\n","1"
